City,LocalTime,Temperature_C,Wind_Speed_kph,Humidity,Condition
Kirsehir,2023-09-14 18:12,24.0,15.1,14,Sunny
Kilis,2023-09-14 18:12,31.0,3.6,9,Sunny
Kocaeli,2023-09-14 18:12,28.0,13.0,33,Sunny
Konya,2023-09-14 18:12,23.0,15.1,22,Sunny
Kutahya,2023-09-14 18:12,19.3,16.2,20,Sunny
Malatya,2023-09-14 18:12,27.0,9.0,17,Sunny
Manisa,2023-09-14 18:12,29.0,19.1,43,Sunny
Mardin,2023-09-14 18:12,26.8,13.7,14,Sunny
Mersin,2023-09-14 18:12,26.6,16.2,49,Sunny
Mugla,2023-09-14 18:12,23.8,4.0,23,Sunny
Mus,2023-09-14 18:12,26.0,3.6,24,Partly cloudy
Nevsehir,2023-09-14 18:12,24.0,15.1,14,Sunny
Nigde,2023-09-14 18:12,13.5,9.4,22,Sunny
Ordu,2023-09-14 18:12,15.3,4.3,74,Sunny
Osmaniye,2023-09-14 18:12,23.2,9.4,33,Sunny
Rize,2023-09-14 18:12,18.1,6.1,75,Cloudy
Sakarya,2023-09-14 18:12,28.0,13.0,33,Sunny
Samsun,2023-09-14 18:12,23.0,15.1,57,Partly cloudy
Siirt,2023-09-14 18:12,24.2,5.0,29,Sunny
Sinop,2023-09-14 18:12,21.1,21.6,60,Sunny
Sivas,2023-09-14 18:12,17.0,22.0,45,Sunny
Sirnak,2023-09-14 18:12,27.2,5.4,18,Sunny
Tekirdag,2023-09-14 18:12,28.0,11.2,37,Sunny
Tokat,2023-09-14 18:12,23.0,20.2,38,Partly cloudy
Trabzon,2023-09-14 18:12,23.0,6.8,61,Partly cloudy
Tunceli,2023-09-14 18:12,15.2,7.9,23,Sunny
Usak,2023-09-14 18:12,28.0,13.0,14,Sunny
Van,2023-09-14 18:12,19.0,15.1,60,Partly cloudy
Yalova,2023-09-14 18:12,27.0,24.1,34,Sunny
Yozgat,2023-09-14 18:12,16.0,10.1,32,Sunny
Zonguldak,2023-09-14 18:12,25.0,16.9,51,Sunny
Adana,2023-09-15 18:11,31.0,20.2,27,Sunny
Adiyaman,2023-09-15 18:11,25.2,5.4,13,Sunny
Afyonkarahisar,2023-09-15 18:11,27.0,3.6,18,Sunny
Agri,2023-09-15 18:11,12.2,5.8,57,Sunny
Aksaray,2023-09-15 18:11,18.9,10.8,21,Partly cloudy
Amasya,2023-09-15 18:11,24.0,25.9,39,Partly cloudy
Ankara,2023-09-15 18:11,27.0,6.8,18,Sunny
Antalya,2023-09-15 18:11,30.0,19.1,43,Sunny
Ardahan,2023-09-15 18:11,11.5,8.6,64,Sunny
Artvin,2023-09-15 18:11,24.0,3.6,61,Sunny
Aydin,2023-09-15 18:11,34.0,15.1,25,Sunny
Balikesir,2023-09-15 18:11,30.0,25.9,24,Sunny
Bartin,2023-09-15 18:11,25.0,16.9,51,Partly cloudy
Batman,2023-09-15 18:11,33.0,9.0,16,Sunny
Bayburt,2023-09-15 18:11,11.9,10.4,70,Sunny
Bilecik,2023-09-15 18:11,28.0,16.9,30,Sunny
Bingol,2023-09-15 18:11,20.6,6.1,24,Sunny
Bitlis,2023-09-15 18:12,28.0,3.6,22,Partly cloudy
Bolu,2023-09-15 18:11,18.8,3.6,53,Sunny
Burdur,2023-09-15 18:12,29.0,6.8,14,Sunny
Bursa,2023-09-15 18:11,28.0,16.9,30,Sunny
Canakkale,2023-09-15 18:11,31.0,24.1,27,Sunny
Cankiri,2023-09-15 18:11,17.6,5.8,29,Sunny
